ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
1995,total - estadual e municipal,total,AC,MT,5,173.12719339622643,0,20.350404312668463,43.755615453728659,18.238993710691823,8.3108715184186881,6.9182389937106921,1.2129380053908356,1.2129380053908356,0,0,0
1997,total - estadual e municipal,total,AC,MT,5,174.54991735258619,5.1371453879596585,24.025957620036916,25.678203169788304,21.604511161030391,13.82658384979543,6.7899793422596435,2.7529301570493576,0.18468931208034695,0,0,0
2021,total - estadual e municipal,rural,AC,LP,5,174.92000000000002,14.38,21.78,18.63,15.22,13.97,8.32,5.13,2.18,0.41000000000000003,0,
2021,"total - federal, estadual e municipal",rural,AC,LP,5,174.92000000000002,14.38,21.78,18.63,15.22,13.97,8.32,5.13,2.18,0.41000000000000003,0,
2021,"total - federal, estadual, municipal e privada",rural,AC,LP,5,174.92000000000002,14.38,21.78,18.63,15.22,13.97,8.32,5.13,2.18,0.41000000000000003,0,
2001,municipal,total,AC,LP,5,175.25632054967664,8.75202700328461,13.906468910701225,34.810182732106462,18.534942388052539,12.404146793829632,5.4069018831256273,6.1853302888999391,0,0,0,
1995,estadual,total,AC,LP,5,177.3298218163369,7.5088787417554537,17.351598173515981,24.048706240487064,17.656012176560122,27.600202942668695,2.6382546930492135,0,1.21765601217656,1.97869101978691,0,
2011,municipal,total,AC,LP,5,178.32158563342892,7.6381447786137819,19.13701959150141,23.125156686387982,21.692314883500931,15.143213313067323,8.2501006287846845,3.4519825412625949,1.0940355925300111,0.46803198435185811,0,
2023,municipal,rural,AC,LP,5,179.4,9.46,19.97,23.73,16.77,13.48,8.46,5.17,2.3000000000000003,0.37,0.29,
2021,municipal,rural,AC,MT,5,181.77,4.4,17.240000000000002,26.740000000000002,22.17,15.46,9.13,3.54,0.89,0.33,0.09,0
2011,total - estadual e municipal,total,AC,LP,5,182.23577647944163,7.1223394310721293,16.625963232290886,22.442930098919827,22.471027712428739,15.195072660516145,9.1847961233208686,4.7153482170441219,1.6625892831251157,0.56179186264363323,0.018141378638424837,
2011,"total - federal, estadual e municipal",total,AC,LP,5,182.26495188712565,7.1134131325830054,16.627458412628542,22.421914965917164,22.483455264474369,15.183288777503353,9.1876144706085512,4.73740302129105,1.6585499495841294,0.56880470204584543,0.01809730336381692,
1995,total - estadual e municipal,total,AC,LP,5,182.58433439761598,6.3005534269902084,15.708812260536398,22.477650063856959,18.263090676883781,26.607066836951894,4.5125585355470417,2.2988505747126435,1.0217113665389528,2.80970625798212,0,
2001,municipal,total,AC,MT,5,184.16935298301175,9.3690646120257668,9.1861493244758687,27.55846417926508,18.555230142339106,17.593316453333021,9.3690646120257668,8.3687106765353718,0,0,0,0
2011,"total - federal, estadual, municipal e privada",total,AC,LP,5,184.28458282898436,6.7903829414904937,15.948692085278177,21.775193206386273,22.123352235731065,15.670281588102196,9.81522169021174,5.1574540792609307,1.9609086790191492,0.65761248526253047,0.10090100925916938,
2021,estadual,rural,AC,LP,5,184.35,7.62,19.7,18.25,17.38,17.57,10.38,6.68,1.86,0.55,0,
2011,estadual,total,AC,LP,5,185.04812571869834,6.7517328781888422,14.821767238942499,21.95274975264708,23.030533500008485,15.232333642946914,9.8563755803313615,5.6230774609605163,2.0710955624891865,0.62915840984606841,0.031175973633950485,
2021,"total - federal, estadual, municipal e privada",rural,AC,MT,5,185.06,3.99,15.33,25.6,22.42,16.37,9.7900000000000009,4.75,1.1,0.6,0.06,0
2021,total - estadual e municipal,rural,AC,MT,5,185.06,3.99,15.33,25.6,22.42,16.37,9.7900000000000009,4.75,1.1,0.6,0.06,0
2021,"total - federal, estadual e municipal",rural,AC,MT,5,185.06,3.99,15.33,25.6,22.42,16.37,9.7900000000000009,4.75,1.1,0.6,0.06,0
1997,municipal,total,AC,LP,5,185.56775515714003,8.58808338199611,11.01279479082476,22.510725939522413,26.875411333527094,12.444526579369784,9.3566571123717832,5.5390399184362762,3.3207823596031849,0.35197858434849483,0,
2023,"total - federal, estadual e municipal",rural,AC,LP,5,185.84,7.91,18.11,20.6,17.27,14.89,11.1,6.18,2.73,0.82000000000000006,0.38,
2023,total - estadual e municipal,rural,AC,LP,5,185.84,7.91,18.11,20.6,17.27,14.89,11.1,6.18,2.73,0.82000000000000006,0.38,
1999,municipal,total,AC,LP,5,185.88461999999998,20,0,20,20,20,0,20,0,0,0,
2023,municipal,rural,AC,MT,5,185.91,6.86,15.72,21.990000000000002,22.84,14.9,8.86,4.12,3.0100000000000002,1.02,0.52,0.15
2013,municipal,total,AC,LP,5,187.22959150252245,6.8530771886088155,15.328745182074949,20.213301320892693,21.44011799642487,15.961997376951059,10.706058560035128,6.0385681831012947,2.722827748514999,0.56380795327927458,0.17149849011722373,
1997,municipal,total,AC,MT,5,188.20300847614303,7.261104041754618,16.096445709835937,13.199356319572328,22.988495972368547,16.390480944331593,16.237709644753981,7.1134782242231021,0.7129291431599053,0,0,0
2021,municipal,total,AC,LP,5,188.42000000000002,9.35,16.09,17.04,17.59,15.8,12.25,7.46,3.0100000000000002,1.33,0.07,
2003,municipal,total,AC,LP,5,191.1242278372446,6.26957258401375,11.516248302739012,23.032496605478023,20.4091587461154,16.762924021464276,15.740027156175783,2.6233378593626306,3.6462347246511193,0,0,
2021,estadual,rural,AC,MT,5,191.29,3.21,11.72,23.43,22.89,18.11,11.02,7.03,1.49,1.1,0,0
2023,total - estadual e municipal,rural,AC,MT,5,192.19,5.82,13.58,20.5,21.5,15.77,10.61,5.72,4.19,1.43,0.65,0.23
2023,"total - federal, estadual e municipal",rural,AC,MT,5,192.19,5.82,13.58,20.5,21.5,15.77,10.61,5.72,4.19,1.43,0.65,0.23
2021,municipal,urbana,AC,LP,5,192.91,7.26,14.450000000000001,16.61,18.44,16.7,13.47,8.23,3.17,1.58,0.09,
2013,total - estadual e municipal,total,AC,LP,5,194.07743367544185,5.2559653941838738,13.213579404627284,18.289975044583311,20.384346443992175,17.459028587012618,12.973783815791636,7.7094478175191661,3.4515392222953607,1.0614798497053057,0.20085442028600489,
2013,"total - federal, estadual e municipal",total,AC,LP,5,194.11912623616848,5.2448576102057327,13.193481546855667,18.282630755527602,20.380403264769672,17.476922248700294,12.9855018753059,7.7244640658716932,3.45207213839666,1.0592365531872725,0.2004299411762184,
2011,federal,total,AC,LP,5,194.24437137611415,3.4482758620689631,17.241379310344815,13.793103448275852,27.586206896551705,10.344827586206891,10.344827586206891,13.793103448275852,0,3.4482758620689631,0,
2011,municipal,total,AC,MT,5,194.608639309768,2.1506368459192955,10.629380460649443,23.044210562568907,24.292659534715838,17.601130411860222,11.326350744206932,6.957806229527308,2.6010892934351637,0.89363037159265246,0.50310554552480669,0
2013,"total - federal, estadual, municipal e privada",total,AC,LP,5,195.88460003015246,5.0214317099656922,12.721468062267441,17.821083925225906,20.003504674812696,17.48762645693574,13.398598433643549,8.2428029194214059,3.9107855933020965,1.1475985077351845,0.24509971668774788,
2021,municipal,total,AC,MT,5,196.35,3.1,10.56,19.68,23.04,19.39,13,7.25,2.65,1.09,0.24,0
2023,estadual,rural,AC,LP,5,196.67000000000002,5.3,14.98,15.34,18.11,17.27,15.55,7.88,3.45,1.57,0.55,
2011,total - estadual e municipal,total,AC,MT,5,196.80881693477824,1.8610659451340725,9.9048268330207669,21.590565226605339,24.241754161678809,18.625514752663477,11.919888062905265,7.3598677414373057,2.973889563161503,0.99195273689581176,0.53067497649756012,0
2011,"total - federal, estadual e municipal",total,AC,MT,5,196.82374146955644,1.8649221412007324,9.8891403594215657,21.563243214064389,24.249879656198306,18.664040621724357,11.941194596510169,7.3419866201483908,2.9666643681108722,0.98954274424044908,0.52938567838064976,0
2023,municipal,total,AC,LP,5,197.47,6.36,13.74,17.490000000000002,16.5,16.42,12.67,9.16,5.05,1.69,0.92,
2021,total - estadual e municipal,total,AC,LP,5,197.54,6.76,13.06,15.52,17.1,17.43,14.15,9.52,4.3500000000000005,1.92,0.2,
2021,"total - federal, estadual e municipal",total,AC,LP,5,197.65,6.74,13.030000000000001,15.51,17.07,17.41,14.19,9.5400000000000009,4.38,1.94,0.2,
2005,estadual,total,AC,MT,5,198.01562499937504,0,12.500000000000002,31.250000000000004,12.500000000000002,6.2500000000000009,25.000000000000004,6.2500000000000009,0,0,6.2500000000000009,0
2011,estadual,total,AC,MT,5,198.38964631008062,1.653009022369007,9.38423447469346,20.546119895349847,24.205178610620685,19.361535717124916,12.346345098952536,7.6487492578579888,3.2417468537761884,1.0625974346484737,0.5504836346017139,0
2015,municipal,total,AC,LP,5,198.45947915315134,3.1703875518160829,10.130103396531956,17.79194884075347,22.541204432412506,19.723298441412332,13.873215575767214,8.2425649847255471,3.1326622799019237,1.0002672113429594,0.39434728533687818,
2011,"total - federal, estadual, municipal e privada",total,AC,MT,5,198.56238341214174,1.8160524021389153,9.44440481681118,20.821936737694692,23.748908391532336,18.835274450091262,12.480042128232659,7.8165298613137164,3.3393338177930749,1.0771179137498899,0.62039948064407835,0
1995,municipal,total,AC,MT,5,199.24750666666668,0,6.666666666666667,20,26.666666666666668,20,13.333333333333334,6.666666666666667,6.666666666666667,0,0,0
2021,municipal,urbana,AC,MT,5,199.89000000000001,2.7800000000000002,8.94,17.96,23.26,20.34,13.94,8.15,3.0700000000000003,1.28,0.27,0
2013,estadual,total,AC,LP,5,200.09219719379948,3.8531512648209376,11.355735483553337,16.600632266451818,19.457015460463154,18.773937500029717,14.965627493482295,9.1770555127410223,4.0915988319087937,1.4986071507061467,0.2266390358433765,
2005,estadual,total,AC,LP,5,200.22161661933328,0,0,19.999999999999993,39.999999999999986,6.6666666666666652,33.333333333333329,0,0,0,0,
2013,municipal,total,AC,MT,5,200.22817212155317,4.39263732016536,8.6800279284415129,17.613190463915025,23.0658970308079,17.404815203853069,13.649228938886145,8.2880394651927318,3.9938263883372969,1.9969627272868034,0.9153745331144878,0
2021,"total - federal, estadual, municipal e privada",total,AC,LP,5,200.76,6.32,12.36,14.8,16.53,16.95,14.96,10.370000000000001,5.01,2.5,0.21,
2021,total - estadual e municipal,urbana,AC,LP,5,201.96,5.2700000000000005,11.35,14.92,17.47,18.1,15.290000000000001,10.370000000000001,4.7700000000000005,2.22,0.24,
2021,"total - federal, estadual e municipal",urbana,AC,LP,5,202.08,5.25,11.32,14.9,17.43,18.09,15.33,10.4,4.8100000000000005,2.23,0.24,
2023,municipal,urbana,AC,LP,5,202.68,5.46,11.94,15.69,16.42,17.28,13.89,10.31,5.8500000000000005,2.08,1.1,
2023,estadual,rural,AC,MT,5,202.76,4.07,9.96,17.990000000000002,19.240000000000002,17.25,13.55,8.41,6.17,2.12,0.87,0.37
2011,federal,total,AC,MT,5,202.95175396294729,3.4482758620689631,3.4482758620689631,10.344827586206891,27.586206896551705,34.48275862068963,20.689655172413779,0,0,0,0,0
2015,total - estadual e municipal,total,AC,LP,5,203.3699975355004,2.551413063702753,9.1293373604397,16.020748991295331,21.010796785480355,20.317379375993497,15.754304268621231,9.283528158484545,4.0473120179243738,1.3629181361365084,0.52226184191925251,
2015,"total - federal, estadual e municipal",total,AC,LP,5,203.44847380776054,2.5460565693042883,9.1101710227233283,15.994612605916425,20.989180056828609,20.327210175835138,15.758719015602244,9.3165236755885221,4.0538108755016866,1.3675547329870492,0.536161269710263,
2005,privada,total,AC,LP,5,203.68449744882071,4.4208343961936833,6.113106494805626,12.705120166864399,19.182437455113856,25.258317856275145,24.107331561393568,6.45115857758318,0.89342308418303062,0.86827040758750229,0,
2021,total - estadual e municipal,total,AC,MT,5,204.23000000000002,2.27,8.15,16.9,21.38,20.29,15.860000000000001,8.9,3.95,1.85,0.45,0
2021,"total - federal, estadual e municipal",total,AC,MT,5,204.33,2.27,8.13,16.87,21.35,20.28,15.88,8.94,3.98,1.85,0.44,0
2019,municipal,total,AC,LP,5,205.22666145860796,3.7380596356895106,9.3777333729993622,14.63250734885492,18.971531845562126,19.579294346411192,15.702336251753486,10.349475039602972,4.9838154969288766,2.3161257052795103,0.34912095691903949,
